experiment_id,job_id,job_name,state,elapsed,time_limit,cpus,memory,classified_instances,successes_30m_lower_bound,successes_2h_lower_bound,successes_6h_lower_bound,explicit_instance_timeouts,max_completed_steps,last_horizon_cutoff_summary,source_evaluation_log,source_completion_ledger
MCTS-LEGACY-FO,20559575,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077,RUNNING,2:41:47,3-00:00:00,6,120G,0,0,0,0,0,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559575_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077.txt,
MCTS-LEGACY-FO,20559573,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCM_src20489456_e0044,RUNNING,4:25:39,3-00:00:00,6,120G,0,0,0,0,0,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559573_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCM_src20489456_e0044.txt,
MCTS-LEGACY-FO,20559578,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCM_src20489462_e0032,RUNNING,6:47:16,3-00:00:00,6,120G,0,0,0,0,3,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559578_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCM_src20489462_e0032.txt,
MCTS-LEGACY-FO,20559580,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10TCM_src20489464_e0005,RUNNING,6:47:16,3-00:00:00,6,120G,0,0,0,0,3,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559580_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10TCM_src20489464_e0005.txt,
MCTS-LEGACY-FO,20559566,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489450_e0098,RUNNING,1:56:20,3-00:00:00,6,120G,0,0,0,0,0,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559566_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489450_e0098.txt,
MCTS-LEGACY-FO,20559572,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489455_e0053,RUNNING,6:12:52,3-00:00:00,6,120G,0,0,0,0,3,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559572_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489455_e0053.txt,
MCTS-LEGACY-FO,20559567,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489451_e0009,RUNNING,6:39:35,3-00:00:00,6,120G,0,0,0,0,0,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559567_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489451_e0009.txt,
MCTS-LEGACY-FO,20559569,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCM_src20489452_e0035,RUNNING,6:39:35,3-00:00:00,6,120G,0,0,0,0,3,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559569_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCM_src20489452_e0035.txt,
MCTS-LEGACY-FO,20559571,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10TCM_src20489454_e0000,RUNNING,6:39:35,3-00:00:00,6,120G,0,0,0,0,2,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559571_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10TCM_src20489454_e0000.txt,
MCTS-LEGACY-FO,20559564,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCM_src20489448_e0009,RUNNING,7:47:22,3-00:00:00,6,120G,0,0,0,0,2,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559564_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCM_src20489448_e0009.txt,
MCTS-PW70-CROSS-DOMAIN,20755794,pw70-kmin3-counters-off-1963100312-s1,RUNNING,2-02:33:30,3-00:00:00,6,120G,21,21,21,21,0,237,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20755794.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20755794.jsonl
MCTS-HORIZON-COUNTERS,20755809,horizon-counters-on-2011206605-unaware,RUNNING,2-02:33:30,3-00:00:00,6,120G,13,11,12,13,0,1105,,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/%x_20755809.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755809.jsonl
MCTS-PW-COUNTERS-DIVERGENCE,20863189,pw-counters-divergence-off-2082152039-sim70,RUNNING,1:11:54,3-00:00:00,6,120G,19,19,19,19,0,1178,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20863189.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20863189.jsonl
MCTS-PW70-CONFIRMATORY,20838262,pw70-confirm-counters-off-1073581256-stage2,RUNNING,6:47:16,3-00:00:00,6,120G,52,36,46,52,0,1378,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838262.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838262.jsonl
MCTS-PW70-CONFIRMATORY,20838278,pw70-confirm-rover-on-534933607-stage1,RUNNING,6:47:16,3-00:00:00,6,120G,12,4,4,4,0,10000,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838278.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838278.jsonl
MCTS-PW-COUNTERS-DIVERGENCE,20863184,pw-counters-divergence-off-534933607-sim20,RUNNING,6:47:16,3-00:00:00,6,120G,38,19,21,21,0,10000,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20863184.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20863184.jsonl
MCTS-PW-COUNTERS-DIVERGENCE,20863186,pw-counters-divergence-off-923500475-sim20,RUNNING,7:47:22,3-00:00:00,6,120G,43,32,41,43,0,7798,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20863186.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20863186.jsonl
MCTS-PW-COUNTERS-DIVERGENCE,20863187,pw-counters-divergence-off-923500475-sim70,RUNNING,7:47:22,3-00:00:00,6,120G,21,18,20,21,0,3652,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20863187.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20863187.jsonl
MCTS-PW-COUNTERS-DIVERGENCE,20863188,pw-counters-divergence-off-2082152039-sim20,RUNNING,7:47:22,3-00:00:00,6,120G,34,18,18,18,0,10000,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20863188.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20863188.jsonl
MCTS-PW-COUNTERS-DIVERGENCE,20863185,pw-counters-divergence-off-534933607-sim70,RUNNING,8:27:17,3-00:00:00,6,120G,21,19,20,21,0,5828,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20863185.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20863185.jsonl
MCTS-PW70-CONFIRMATORY,20838279,pw70-confirm-rover-on-923500475-stage1,RUNNING,12:15:47,3-00:00:00,6,120G,11,5,5,5,0,429,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838279.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838279.jsonl
MCTS-PW70-CONFIRMATORY,20838277,pw70-confirm-rover-on-1073581256-stage1,RUNNING,14:39:23,3-00:00:00,6,120G,13,4,4,4,0,309,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838277.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838277.jsonl
MCTS-PW70-CONFIRMATORY,20838276,pw70-confirm-rover-off-923500475-stage1,RUNNING,14:51:10,3-00:00:00,6,120G,13,4,4,4,0,189,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838276.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838276.jsonl
MCTS-PW70-CONFIRMATORY,20838275,pw70-confirm-rover-off-534933607-stage1,RUNNING,14:54:15,3-00:00:00,6,120G,9,6,6,6,0,494,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838275.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838275.jsonl
MCTS-PW70-CONFIRMATORY,20838271,pw70-confirm-fo_counters-on-1073581256-stage1,RUNNING,15:04:08,3-00:00:00,6,120G,11,7,7,7,0,10000,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838271.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838271.jsonl
MCTS-PW70-CONFIRMATORY,20838270,pw70-confirm-fo_counters-off-923500475-stage1,RUNNING,15:05:57,3-00:00:00,6,120G,8,8,8,8,0,371,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838270.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838270.jsonl
MCTS-PW70-CONFIRMATORY,20838269,pw70-confirm-fo_counters-off-534933607-stage1,RUNNING,15:08:18,3-00:00:00,6,120G,7,7,7,7,0,73,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838269.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838269.jsonl
MCTS-PW70-CONFIRMATORY,20838268,pw70-confirm-fo_counters-off-1073581256-stage1,RUNNING,15:14:52,3-00:00:00,6,120G,10,6,6,6,0,10000,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838268.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838268.jsonl
MCTS-PW70-CONFIRMATORY,20838267,pw70-confirm-counters-on-923500475-stage2,RUNNING,15:16:26,3-00:00:00,6,120G,31,20,26,29,0,10000,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838267.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838267.jsonl
MCTS-PW70-CONFIRMATORY,20838266,pw70-confirm-counters-on-534933607-stage2,RUNNING,15:18:45,3-00:00:00,6,120G,55,36,48,55,0,1540,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838266.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838266.jsonl
MCTS-PW70-CONFIRMATORY,20838265,pw70-confirm-counters-on-1073581256-stage2,RUNNING,15:21:51,3-00:00:00,6,120G,44,27,40,44,0,5347,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838265.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838265.jsonl
MCTS-PW70-CONFIRMATORY,20838264,pw70-confirm-counters-off-923500475-stage2,RUNNING,15:23:54,3-00:00:00,6,120G,33,33,33,33,0,561,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838264.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838264.jsonl
MCTS-PW70-CONFIRMATORY,20838263,pw70-confirm-counters-off-534933607-stage2,RUNNING,1-06:12:08,3-00:00:00,6,120G,14,10,10,10,0,10000,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20838263.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838263.jsonl
